ID1,gene1,ID2,gene2,value,gene_compare
29,ALOX15,148,ERG,-0.0451,ALOX15--ERG;
30,ALOX15B,35,ANPEP,-0.14116,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP2,-0.00484,ALOX15B--CNTNAP2;
30,ALOX15B,148,ERG,0.01021,ALOX15B--ERG;
148,ERG,153,F5,-0.00526,ERG--F5;
148,ERG,176,GHR,-0.01125,ERG--GHR;
148,ERG,199,HPGD,0.05109,ERG--HPGD;
148,ERG,310,PLA2G7,-0.11448,ERG--PLA2G7;
175,GDF15,200,HPN,-0.00607,GDF15--HPN;
213,IL6,214,IL8,-0.05212,IL6--IL8;
213,IL6,313,PLAUR,-0.02136,IL6--PLAUR;
237,KRT5,402,TRIM29,-0.06087,KRT5--TRIM29;
353,SERPINB5,402,TRIM29,-0.08959,SERPINB5--TRIM29;
