ID1,gene1,ID2,gene2,value,gene_compare
9,ADA2,407,HOS2,-0.00299,ADA2--HOS2;
9,ADA2,870,RRP12,-0.09383,ADA2--RRP12;
9,ADA2,993,SPB1,-0.2957,ADA2--SPB1;
179,CGR1,870,RRP12,-0.0926,CGR1--RRP12;
179,CGR1,993,SPB1,-0.1666,CGR1--SPB1;
179,CGR1,1065,SWF1,0.08721,CGR1--SWF1;
179,CGR1,1245,VRP1,0.00681,CGR1--VRP1;
179,CGR1,1255,YOX1,0.08646,CGR1--YOX1;
231,DAK2,993,SPB1,0.02977,DAK2--SPB1;
317,FMT1,993,SPB1,0.05976,FMT1--SPB1;
348,GIT1,993,SPB1,0.00783,GIT1--SPB1;
407,HOS2,993,SPB1,-0.09957,HOS2--SPB1;
571,MRPL4,993,SPB1,0.00032,MRPL4--SPB1;
827,RPA12,993,SPB1,0.02059,RPA12--SPB1;
870,RRP12,993,SPB1,-0.19735,RRP12--SPB1;
981,SNU66,993,SPB1,-0.01209,SNU66--SPB1;
993,SPB1,1092,TEA1,0.02492,SPB1--TEA1;
993,SPB1,1245,VRP1,0.07256,SPB1--VRP1;
993,SPB1,1255,YOX1,0.0026,SPB1--YOX1;
993,SPB1,1260,ZDS1,0.0333,SPB1--ZDS1;
